x_m,y_m,curvature_1_per_m,radius_m,heading_rad
1.457341161973975829e+01,2.804381509472841483e+00,1.028303479654824396e-02,9.724755578340305817e+01,3.967887269981877629e-02
1.470285205687479646e+01,2.809605945226927748e+00,1.004750840907778220e-02,9.952716228597670067e+01,4.099564517789194840e-02
1.483461995124199007e+01,2.815097658558019855e+00,9.816687467777102799e-03,1.018673563034843852e+02,4.230541589643101175e-02
1.496873604991994178e+01,2.820862726400622744e+00,9.590615094400338492e-03,1.042685990582469344e+02,4.360793573599464068e-02
1.510522109998724538e+01,2.826907225689241354e+00,9.369314830393696628e-03,1.067313905127873852e+02,4.490297908734278143e-02
1.524409584852250177e+01,2.833237233358381069e+00,9.152793102809586578e-03,1.092562662312376602e+02,4.619034221509074611e-02
1.538538104260431183e+01,2.839858826342545939e+00,8.941041418690053380e-03,1.118437946064799036e+02,4.746984173636691062e-02
1.552909742931126935e+01,2.846778081576241348e+00,8.734038317564840267e-03,1.144945744042502156e+02,4.874131320584336458e-02
1.567526575572197700e+01,2.854001075993971792e+00,8.531751108379640944e-03,1.172092325827260311e+02,5.000460979920961363e-02
1.582390676891503034e+01,2.861533886530242654e+00,8.334137414230205834e-03,1.199884223522088860e+02,5.125960108779892277e-02
1.597504121596903204e+01,2.869382590119558429e+00,8.141146545680379501e-03,1.228328214446147229e+02,5.250617189765991594e-02
1.612868984396257588e+01,2.877553263696424057e+00,7.952720721144780971e-03,1.257431305667743402e+02,5.374422124689951646e-02
1.628487339997426631e+01,2.886051984195344478e+00,7.768796150783687307e-03,1.287200720151633391e+02,5.497366135560984718e-02
1.644361263108269355e+01,2.894884828550824629e+00,7.589303998556784503e-03,1.317643884327422370e+02,5.619441672313752606e-02
1.660492828436646562e+01,2.904057873697369008e+00,7.414171235486131245e-03,1.348768416911849499e+02,5.740642326786124516e-02
1.676884110690417629e+01,2.913577196569482997e+00,7.243321395762593318e-03,1.380582118839858197e+02,5.860962752501742978e-02
1.693537184577442645e+01,2.923448874101671091e+00,7.076675246072972915e-03,1.413092964178235320e+02,5.980398589845573043e-02
1.710454124805581344e+01,2.933678983228438675e+00,6.914151377408510150e-03,1.446309091911738847e+02,6.098946396251989782e-02
1.727637006082693460e+01,2.944273600884289799e+00,6.755666727622687377e-03,1.480238798505531008e+02,6.216603581053806865e-02
1.745087903116639083e+01,2.955238804003729847e+00,6.601137042123429721e-03,1.514890531159649356e+02,6.333368344667085481e-02
1.762808890615277946e+01,2.966580669521264202e+00,6.450477279298857947e-03,1.550272881681549109e+02,6.449239621810876066e-02
1.780802043286470138e+01,2.978305274371396916e+00,6.303601966575959718e-03,1.586394580911630499e+02,6.564217028483336491e-02
1.799069435838075037e+01,2.990418695488632927e+00,6.160425512387570496e-03,1.623264493644423965e+02,6.678300812436371858e-02
